"id","age","gender","orientation","relation_length","relation_type","se_share","se_antic","se_sync","se_persp","se_sim","se_realc","se_realev","se_cert","rel_identity_1","rel_identity_2","rel_identity_3","rel_identity_4","rel_identity_5","rel_identity_6","rel_identity_7","rel_identity_8","rel_identity_9","rel_identity_10","rel_identity_11","responsive_1","responsive_2","responsive_3","responsive_4","responsive_5","responsive_6","responsive_7","responsive_8","responsive_9","responsive_10","responsive_11","responsive_12","responsive_13","responsive_14","responsive_15","responsive_16","responsive_17","intimate_1","intimate_2","intimate_3","satisfact_1","satisfact_2","satisfact_3","satisfact_4","satisfact_5","satisfact_6"
1,58,2,1,12,4,4,3,4,6,3,5,5,6,4,4,6,4,6,6,2,7,7,1,4,7,6,6,7,7,6,6,6,6,7,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6
2,41,2,1,11,5,3,4,4,6,6,1,4,4,7,7,7,5,5,5,7,3,2,4,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,6,6,7,7,7,7,7,7,7
3,26,1,1,2,5,7,7,7,7,4,7,7,4,7,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
4,25,1,1,2,2,6,6,6,6,6,6,5,6,6,5,6,6,5,6,5,5,3,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,6,5,6,6,6,6,6,6
5,42,2,1,5,2,7,7,7,6,6,4,5,5,3,3,5,4,3,5,2,6,6,2,4,5,3,7,6,6,5,5,7,5,6,5,6,4,6,5,5,5,5,5,6,5,5,5,5,5,5
6,60,2,1,30,5,7,6,7,7,7,4,7,6,6,6,7,6,7,7,6,1,1,4,6,6,6,5,7,6,5,4,4,4,6,5,7,4,6,4,5,4,4,5,6,6,4,4,5,6,7
7,24,2,3,3,5,6,5,5,6,4,5,4,4,5,6,7,5,5,7,5,3,3,4,5,7,6,7,7,7,6,7,7,7,7,7,5,5,5,6,6,7,6,6,6,7,7,7,7,7,7
8,40,2,1,5,6,1,1,1,3,3,1,5,1,5,4,6,1,1,4,1,5,4,2,5,7,6,6,7,4,1,1,1,2,2,1,1,1,2,1,3,2,2,2,2,3,1,3,2,5,5
9,46,1,1,19,5,4,5,5,5,5,4,5,5,5,5,4,6,5,6,5,2,2,5,5,7,5,4,6,4,6,5,5,5,6,4,5,4,5,4,5,4,4,5,5,5,6,5,4,5,6
10,35,2,1,6,5,7,5,3,6,6,4,3,4,7,7,7,5,4,7,5,2,1,1,1,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7
11,35,1,1,12,5,6,3,5,6,4,4,5,6,7,7,7,6,7,7,7,1,1,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,5,6,7,7,7
12,57,2,1,19,3,5,7,7,6,3,7,6,3,5,7,7,4,5,6,5,3,3,3,5,7,7,7,7,7,7,6,6,6,7,5,5,7,7,4,3,3,7,7,7,5,4,3,6,7,7
13,33,2,1,7,5,4,5,5,5,4,5,5,5,7,7,6,6,5,6,5,3,2,4,4,4,3,5,4,5,4,4,7,5,6,4,5,4,6,5,5,5,5,5,4,4,3,3,4,4,7
14,47,2,1,25,5,4,6,5,5,5,5,6,4,5,7,6,5,6,5,6,2,2,4,3,5,5,4,5,5,4,4,3,5,6,4,3,3,5,4,5,5,6,6,5,3,3,3,4,4,7
15,28,2,1,2,2,6,5,5,6,7,4,7,6,7,7,7,7,7,7,5,2,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7
16,23,1,1,2,6,5,4,5,2,3,5,6,5,5,5,3,3,4,3,5,2,5,3,5,4,3,6,4,6,4,5,4,3,5,3,5,5,3,5,3,5,4,4,4,4,4,5,5,4,5
17,46,1,1,14,5,5,7,5,7,7,4,7,6,4,7,7,4,6,6,5,1,1,3,4,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7
18,59,2,1,3,1,6,7,6,5,5,5,6,5,4,5,4,4,4,5,5,3,3,4,6,5,4,5,5,5,4,3,4,4,5,5,5,4,4,4,4,4,6,6,5,6,5,4,6,4,6
19,34,2,1,8,4,6,6,6,6,6,7,7,6,7,7,6,5,7,7,7,1,1,6,6,6,6,7,7,7,5,7,7,7,7,6,7,5,6,7,7,7,7,7,7,6,7,7,7,6,7
20,57,2,1,35,5,6,6,6,6,7,4,6,6,6,6,6,6,6,6,6,2,3,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,5,7,7,7,5,6,7,7,7
21,24,2,1,2,2,6,4,7,5,6,6,7,7,6,7,7,6,7,7,7,1,2,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7
22,25,1,1,2,1,3,5,5,5,4,5,5,5,5,4,6,3,4,4,5,4,5,5,5,4,5,5,4,4,6,7,6,6,7,6,5,5,5,7,7,7,7,7,7,7,6,6,6,7,7
23,52,2,1,16,1,7,6,6,7,7,5,6,7,6,7,7,6,4,6,6,6,5,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,7,7,7,7,6,7,7,7
24,28,2,3,8,5,5,2,5,4,5,3,3,3,4,6,6,4,4,7,4,3,4,4,5,5,4,4,6,4,5,5,6,5,5,3,3,3,3,1,1,4,4,4,3,1,1,1,2,2,7
25,51,2,1,16,5,3,3,2,3,3,3,4,4,3,4,5,2,3,5,3,3,5,2,4,5,5,3,5,4,5,2,4,3,4,3,3,4,5,3,3,4,3,4,5,3,3,2,4,4,6
26,27,2,1,8,5,4,2,3,3,4,4,5,4,7,7,7,6,7,7,6,2,1,5,7,7,7,6,7,7,7,6,7,7,7,6,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7
27,24,2,1,4,5,5,5,6,3,5,2,5,2,7,7,7,7,7,7,7,1,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7
28,23,2,1,8,6,5,5,7,6,7,3,5,3,6,7,7,5,7,7,5,1,1,4,5,7,7,4,7,7,5,4,6,4,5,3,4,4,5,5,4,5,5,6,6,4,5,3,5,4,7
29,37,2,1,19,5,6,5,6,6,6,5,7,6,6,6,6,6,6,6,6,2,2,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
30,23,2,1,5,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7
31,36,2,1,8,5,6,6,6,7,6,4,6,6,6,7,6,6,6,7,6,2,2,6,4,7,6,6,7,6,5,7,7,7,7,6,7,6,7,7,6,7,6,7,7,6,7,6,6,6,7
32,30,1,1,14,5,5,7,7,5,5,6,7,6,7,6,7,5,7,7,7,1,1,7,5,7,6,7,7,6,5,5,6,5,7,5,7,7,7,5,7,4,6,7,7,5,6,5,7,7,7
33,23,2,3,6,4,5,5,4,5,5,1,1,5,5,5,7,3,4,6,6,1,1,4,7,6,7,6,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,6,5,7,7,7,7
34,33,1,1,6,2,7,5,5,6,6,6,6,6,6,6,6,6,6,7,6,2,2,5,6,6,6,7,7,7,6,7,6,7,7,7,7,5,6,7,7,7,7,7,7,7,6,5,7,7,7
35,42,1,1,12,5,6,5,5,6,6,5,6,6,5,5,5,5,6,6,5,4,3,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5,6,6,6,6,6,6,5,7
36,44,2,1,15,5,7,7,6,6,7,4,5,5,6,6,6,5,6,6,6,2,2,5,5,7,7,6,7,6,6,5,6,6,6,6,6,6,6,6,4,5,7,6,6,6,6,6,6,6,7
37,27,2,1,8,5,4,6,7,6,5,5,5,4,5,6,6,6,4,5,5,3,3,5,5,7,7,7,7,7,7,7,7,6,7,6,6,6,6,7,6,6,3,6,6,6,5,5,5,3,6
38,42,2,1,16,5,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
39,54,2,1,21,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
40,27,2,1,2,1,3,4,3,6,3,1,2,5,6,6,7,4,5,5,6,1,2,3,6,7,7,7,7,7,6,6,7,7,7,6,7,7,7,6,6,7,7,7,6,7,4,6,7,7,7
41,49,1,1,11,5,6,5,5,5,4,4,4,4,6,7,5,4,5,7,4,3,3,4,4,7,7,6,7,7,7,7,6,7,7,6,7,6,7,7,7,7,6,6,6,7,4,6,7,7,7
42,51,2,1,18,5,5,4,4,5,6,5,7,5,6,6,7,6,5,7,6,2,5,5,5,7,6,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
43,35,2,2,12,5,6,7,6,5,5,4,4,5,5,5,6,5,5,7,4,4,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,4,6,7,6,6,6,6,5,7
44,55,1,1,31,5,6,7,7,5,6,5,5,5,5,6,6,2,4,6,5,6,6,2,4,5,5,6,6,6,5,5,6,6,6,6,7,7,7,6,6,6,6,6,6,6,7,6,6,7,7
45,24,2,1,4,5,7,7,7,7,7,5,7,6,6,7,7,7,7,7,6,1,1,5,5,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,3,6,6,5,5,5,6,3,7
46,39,1,1,2,5,7,7,7,7,7,4,7,7,7,7,7,7,7,5,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
47,38,1,1,11,5,4,6,6,6,2,2,4,4,6,6,6,5,5,6,6,4,2,3,5,7,6,7,7,5,6,5,6,7,7,5,6,6,6,7,6,6,4,5,5,6,6,5,5,6,7
48,46,2,1,5,2,5,4,4,5,5,3,5,4,6,6,6,4,4,6,4,6,6,4,5,7,7,6,7,5,5,5,6,5,6,6,5,5,5,6,6,6,7,6,6,6,6,6,7,7,7
49,48,2,1,28,5,6,7,7,7,6,7,7,6,7,7,7,6,7,7,7,1,1,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
50,27,2,3,5,2,6,5,5,5,5,6,4,4,7,7,7,7,7,7,7,3,4,6,7,7,7,7,7,6,6,6,7,6,6,7,7,6,7,7,7,7,7,7,6,7,6,6,7,7,7
51,39,2,1,10,5,4,5,5,6,5,2,5,4,6,7,7,6,7,7,6,1,1,7,7,7,7,7,7,7,7,6,7,7,7,6,7,6,7,7,6,6,5,7,7,7,6,7,7,6,7
52,27,1,1,6,5,4,4,4,4,5,4,6,5,6,7,6,6,6,5,5,3,2,5,5,5,4,3,5,4,5,5,5,5,4,4,4,5,5,5,5,4,5,6,6,5,3,2,5,4,6
53,51,2,1,30,5,7,7,7,7,7,6,6,7,6,7,7,6,6,7,6,2,2,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,6,7,6,7
54,28,2,1,1,1,6,5,6,5,5,4,6,5,6,7,7,6,7,7,5,3,5,3,3,7,6,6,6,6,6,6,6,5,6,7,6,6,6,6,6,6,7,7,7,6,6,6,6,6,7
55,30,2,1,13,5,6,6,6,5,6,6,7,7,7,7,7,7,5,7,5,3,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,7
56,38,2,1,8,5,7,4,6,6,6,7,6,7,5,7,7,6,4,6,4,7,6,6,5,4,6,6,6,6,5,5,7,7,6,6,5,6,6,7,7,7,7,7,7,7,6,6,7,7,7
57,56,1,1,28,2,3,5,2,6,5,5,5,5,4,5,6,4,5,6,3,5,2,3,3,5,4,3,5,4,4,3,4,3,5,4,5,4,5,4,5,3,2,5,5,4,3,3,5,2,5
58,39,2,3,8,4,6,7,7,6,6,4,7,7,5,5,7,4,4,7,5,2,4,4,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
59,33,1,1,12,5,4,5,4,4,4,4,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
60,27,2,3,1,1,7,7,7,5,5,6,5,6,2,7,7,5,6,6,4,6,6,3,4,5,3,4,6,5,4,4,4,3,3,5,3,4,4,2,2,3,5,5,5,2,4,2,3,2,7
61,28,2,1,5,5,5,6,6,7,7,6,5,5,7,7,7,7,7,7,7,1,1,6,5,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
62,37,1,1,7,5,6,7,4,4,4,4,6,4,4,4,3,3,1,5,3,7,5,2,2,7,7,4,7,5,6,6,7,5,7,4,3,3,6,6,4,5,2,6,6,7,7,6,7,2,7
63,41,2,1,17,6,5,5,5,5,4,6,5,5,6,6,6,5,5,6,5,2,3,6,4,5,5,7,5,7,5,5,7,6,7,5,6,4,5,5,5,6,6,6,6,6,5,4,6,5,6
64,28,2,1,8,5,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
65,23,2,1,23,5,7,5,3,5,4,5,7,4,5,4,5,5,5,7,7,5,5,7,7,6,6,3,5,7,7,5,5,5,5,5,7,7,5,7,5,5,7,5,5,7,5,5,7,7,7
66,65,2,1,47,5,6,6,4,6,4,2,2,5,4,5,6,2,4,6,5,2,4,4,4,5,5,5,5,5,5,5,5,7,5,2,5,3,5,5,5,7,4,6,6,6,4,4,6,6,7
67,45,1,1,20,5,7,5,5,6,7,7,5,6,6,7,7,7,6,7,5,1,1,6,7,7,6,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
68,42,2,1,2,1,5,5,5,5,5,6,6,3,4,5,5,4,4,5,4,7,7,2,2,7,7,6,7,7,6,6,6,6,6,6,5,6,6,6,5,6,5,5,5,5,4,5,5,6,5
69,34,1,1,7,5,6,4,5,6,4,6,6,5,7,7,7,7,7,7,7,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
70,31,1,1,12,5,6,2,2,7,4,6,6,6,6,7,7,5,6,7,6,1,1,6,6,7,7,7,7,7,7,7,7,6,7,3,7,7,7,7,7,7,6,6,7,7,7,6,7,7,7
71,26,1,1,3,5,3,5,5,6,4,5,6,5,5,6,6,4,5,6,5,6,6,5,3,3,5,6,5,5,6,4,5,2,3,4,6,5,3,5,5,3,6,5,5,6,6,6,6,5,7
72,23,1,1,2,1,5,6,4,6,6,6,6,6,6,6,6,5,4,5,6,2,1,6,5,7,6,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
73,53,1,1,27,5,2,2,2,2,1,1,1,1,2,2,6,1,1,5,2,6,5,1,6,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
74,23,1,1,3,5,4,4,3,6,5,4,5,6,7,7,7,6,6,7,6,2,2,7,7,7,6,6,6,6,6,7,6,6,7,5,5,7,7,7,7,7,6,7,7,7,6,6,7,7,7
75,30,2,3,6,5,5,4,6,6,5,6,6,6,7,6,7,6,6,6,7,1,1,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7
76,32,2,1,8,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
77,64,1,1,44,5,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7,1,1,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
78,47,2,1,6,1,4,5,5,5,6,6,5,4,4,7,7,5,6,7,6,2,2,4,6,5,3,5,5,3,3,3,4,3,3,3,3,5,4,4,4,3,4,5,3,3,4,3,4,3,7
79,23,2,4,4,2,5,4,5,6,5,5,6,6,7,7,7,7,7,7,7,1,1,6,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
80,31,2,1,1,1,3,2,5,5,5,4,6,4,4,5,6,4,5,5,5,2,3,2,6,6,4,6,6,6,3,7,4,4,7,2,7,7,6,7,5,3,4,5,4,6,4,4,5,4,6
81,25,1,1,6,2,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
82,23,1,1,1,4,6,6,5,6,6,7,6,6,6,7,7,6,5,7,6,3,3,6,7,7,6,7,6,7,6,6,7,7,7,7,7,6,7,7,7,7,6,6,6,7,6,7,7,7,7
83,22,1,2,2,3,6,6,6,6,6,4,4,6,6,6,6,6,7,6,7,1,2,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7
84,35,2,1,10,5,7,6,6,6,6,7,6,6,7,7,7,7,7,7,7,1,1,7,7,7,7,6,7,6,6,5,5,5,6,6,6,6,6,6,6,5,7,7,7,7,6,6,7,7,7
85,27,2,1,9,5,5,6,6,6,6,6,7,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,6,5,6,6,6,6,5,6
86,36,2,1,14,5,5,7,6,6,6,6,7,5,6,7,7,6,7,7,7,3,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
87,28,1,1,3,1,5,6,6,6,6,5,6,5,6,6,6,6,5,6,6,5,5,5,6,6,6,6,7,7,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,7,7,7
88,26,2,1,8,5,6,5,7,7,3,4,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
89,25,1,3,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
90,71,2,1,42,5,6,6,7,6,6,5,6,7,6,7,6,6,5,7,5,3,2,4,3,6,5,6,5,7,6,7,5,6,7,6,7,6,5,7,7,6,6,7,6,6,6,7,6,2,6
91,36,1,1,10,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
92,41,2,1,5,3,5,6,6,5,5,3,6,2,5,6,6,4,6,6,4,4,4,2,3,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
93,24,2,1,4,2,6,5,5,7,6,7,6,6,7,7,7,7,5,7,7,2,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
94,25,2,1,1,4,6,7,7,6,6,2,6,7,5,6,7,4,7,6,5,1,2,4,5,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7
95,33,2,3,2,1,5,2,3,3,4,6,4,3,5,5,6,3,4,5,3,5,3,3,4,5,5,5,5,5,5,5,6,6,5,5,5,4,5,5,5,6,5,5,5,5,4,5,6,5,6
96,21,2,3,1,2,4,7,7,5,7,6,5,5,6,7,7,7,6,7,5,3,5,5,6,6,6,7,7,5,5,5,7,7,6,7,6,6,7,7,7,7,6,7,6,6,7,5,6,6,7
97,28,1,1,3,2,5,6,6,7,7,4,7,7,7,7,7,7,7,7,7,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
98,50,2,1,30,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,6,7,5,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,7,6,6,6,6,7
99,39,1,1,13,5,6,6,5,6,7,5,6,6,7,6,6,6,7,7,7,1,1,6,7,7,7,7,7,6,7,7,7,6,6,6,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7
100,23,2,3,2,1,7,5,6,7,7,7,7,6,6,7,7,6,7,7,6,1,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,6,7,4,7
101,25,1,1,7,1,7,6,6,7,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7
102,31,2,1,4,4,6,6,6,7,7,7,6,7,7,7,7,7,7,7,5,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7
103,44,1,1,26,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,7
104,32,2,4,5,5,6,4,4,5,5,2,3,3,3,3,5,3,2,7,3,6,6,2,3,6,6,7,6,7,6,5,6,5,7,6,4,5,6,6,5,5,6,6,5,6,5,4,5,6,7
105,35,2,1,14,5,7,5,5,7,6,7,4,4,5,6,7,5,3,7,5,3,5,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
106,19,2,1,4,2,4,6,5,5,5,5,5,4,4,4,4,3,6,6,4,2,5,2,3,3,3,3,5,2,1,1,1,1,2,3,2,2,2,2,2,2,2,6,6,3,2,2,4,2,5
107,29,1,1,5,1,4,5,5,6,6,6,5,5,5,5,6,6,5,6,6,2,2,4,4,4,6,4,6,6,6,5,5,5,6,5,5,6,6,6,6,6,4,5,6,5,5,5,5,4,7
108,31,2,2,6,5,5,5,4,5,5,4,5,5,5,5,6,6,6,6,6,4,4,4,5,5,5,6,6,6,6,6,6,6,6,5,6,6,7,7,7,7,6,6,6,6,6,6,6,6,7
