"id","age","gender","orientation","relation_length","relation_type","se_share","se_antic","se_sync","se_persp","se_sim","se_realc","se_realev","se_cert","rel_identity_1","rel_identity_2","rel_identity_3","rel_identity_4","rel_identity_5","rel_identity_6","rel_identity_7","rel_identity_8","rel_identity_9","rel_identity_10","rel_identity_11","responsive_1","responsive_2","responsive_3","responsive_4","responsive_5","responsive_6","responsive_7","responsive_8","responsive_9","responsive_10","responsive_11","responsive_12","responsive_13","responsive_14","responsive_15","responsive_16","responsive_17","intimate_1","intimate_2","intimate_3","satisfact_1","satisfact_2","satisfact_3","satisfact_4","satisfact_5","satisfact_6"
109,20,1,2,2,2,3,2,3,2,3,3,3,3,4,4,4,4,4,4,4,4,5,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,7
110,45,1,1,9,1,7,7,1,5,2,4,7,7,7,4,2,2,3,7,7,6,7,5,7,7,7,7,7,1,1,1,1,1,5,4,2,7,2,7,3,1,2,5,5,1,3,1,3,1,7
111,26,2,1,4,5,5,6,7,6,5,5,7,7,5,7,6,4,6,6,6,3,3,3,4,6,5,6,6,6,6,6,6,5,5,6,6,5,6,6,6,6,4,6,6,6,5,5,5,6,7
112,49,1,1,25,5,2,4,3,5,5,5,2,6,4,4,4,4,3,6,4,6,2,2,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,6,5,5,7,5,5,5,6
113,22,1,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
114,28,2,1,1,1,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,1,1,6,7,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
115,40,2,1,1,1,6,4,4,5,4,3,4,5,5,5,6,5,4,5,5,3,2,4,4,5,4,5,5,6,5,5,5,6,5,4,4,4,5,6,7,6,5,4,5,5,4,4,4,5,5
116,55,1,1,2,2,4,5,5,5,5,5,4,3,5,6,7,5,4,7,5,4,5,4,4,3,4,4,4,4,5,4,5,5,3,5,4,4,5,4,5,4,5,6,7,6,4,4,5,4,6
117,39,1,1,16,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
118,22,1,1,1,1,5,5,4,6,5,2,6,6,5,6,7,2,3,6,4,5,6,2,3,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7
119,30,2,1,1,2,2,5,5,6,3,4,6,6,6,5,7,4,4,7,5,3,3,5,5,5,3,6,4,3,3,6,5,4,4,2,6,3,5,7,7,6,6,6,6,5,6,4,5,6,6
120,36,1,1,1,1,7,7,6,6,6,7,7,6,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
121,39,1,1,1,1,4,4,4,5,5,4,6,5,5,6,6,7,5,7,7,1,7,5,7,5,5,5,5,6,5,6,6,5,5,7,6,6,7,6,6,6,6,5,5,6,5,5,6,7,7
122,33,1,1,1,1,5,5,6,5,5,5,6,6,6,6,6,6,6,5,6,2,2,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
123,23,1,2,1,2,6,5,4,5,5,6,5,5,5,7,4,5,6,4,5,3,5,3,6,6,5,6,6,6,5,4,6,7,5,6,6,5,7,7,6,6,7,6,6,7,5,5,6,6,7
124,26,1,1,1,1,6,3,1,5,2,1,5,2,5,5,6,3,2,4,3,7,7,2,4,4,5,7,6,7,7,5,6,7,6,6,7,7,7,6,7,7,4,6,6,7,5,4,4,4,4
125,24,2,1,1,1,5,6,4,7,6,4,7,5,7,7,7,6,7,7,7,1,3,6,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,5,7,7,7,4,7,7,7,7
126,29,1,1,1,1,5,5,5,5,5,4,5,5,5,5,6,6,4,5,6,2,2,4,5,6,6,6,5,6,6,6,6,6,6,5,5,5,5,6,6,5,6,6,6,6,4,5,6,6,5
127,28,1,1,1,2,4,1,1,4,3,1,1,1,4,4,4,4,1,6,3,6,7,1,1,3,4,5,5,5,5,5,5,5,5,4,5,5,5,7,7,7,6,6,4,6,6,6,6,6,6
128,29,2,1,1,1,6,5,5,5,5,5,6,5,6,6,6,6,5,6,5,3,3,5,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6
129,34,1,1,1,1,5,5,3,5,5,5,5,5,3,5,5,2,3,5,3,4,5,5,5,5,5,5,5,5,5,5,6,4,5,3,4,5,6,6,6,6,6,5,3,6,5,5,5,5,5
130,24,1,1,1,1,6,5,4,6,5,6,4,4,5,7,7,7,7,7,7,2,1,5,6,3,5,4,5,5,5,7,7,7,7,5,7,5,5,5,7,7,6,7,7,7,7,7,7,7,7
131,34,2,3,1,2,1,4,2,2,2,2,2,3,2,2,2,2,1,2,1,6,1,1,2,3,3,2,4,2,2,2,3,3,2,1,2,2,2,1,2,2,5,3,2,3,1,1,3,2,4
132,32,1,1,1,1,6,5,5,6,6,3,5,5,6,7,6,5,6,7,7,3,3,6,7,5,6,6,7,6,6,7,7,6,7,7,6,5,7,7,7,7,6,6,6,7,6,6,7,7,6
133,25,1,1,1,1,6,6,5,6,5,4,6,6,6,5,6,7,6,7,6,3,3,6,6,7,6,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7
134,25,2,3,1,2,2,2,2,3,3,4,4,2,2,2,5,2,4,4,2,6,6,2,4,4,3,5,4,4,3,4,6,3,5,3,6,3,5,5,5,3,4,4,3,4,4,5,4,2,4
135,35,2,2,1,1,4,5,6,4,4,2,3,3,5,6,7,4,3,6,6,1,4,4,5,3,6,6,4,4,6,7,5,7,7,4,5,5,6,7,6,7,4,4,3,5,4,3,6,3,7
136,29,2,1,1,3,7,7,7,7,7,7,7,6,5,7,7,7,7,7,4,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
137,24,2,3,1,2,5,3,3,6,5,3,6,5,5,6,6,5,5,7,6,3,3,6,5,5,5,6,5,6,6,6,6,6,6,7,6,6,7,7,7,7,5,6,6,6,5,5,6,6,5
138,26,1,1,1,1,6,5,6,5,6,6,5,6,5,5,6,5,5,6,5,3,3,4,6,4,4,4,4,4,5,5,4,4,5,4,5,4,4,4,5,5,6,4,4,5,5,4,5,5,5
139,21,1,1,1,1,5,5,5,5,5,3,6,5,5,7,6,6,5,6,4,3,3,5,4,6,5,6,6,6,5,5,7,5,6,4,5,5,6,4,3,3,6,7,6,6,7,5,5,6,7
140,36,2,1,2,5,6,6,5,6,5,6,6,6,6,6,6,5,6,6,5,3,2,5,4,6,6,7,5,6,6,6,6,5,6,6,6,5,5,6,6,6,6,7,7,6,6,6,6,7,7
141,36,2,1,2,1,5,5,4,4,4,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
142,35,2,1,2,1,5,6,4,6,5,6,6,6,4,4,6,1,3,6,2,7,6,2,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
143,26,2,2,2,1,6,6,6,6,6,2,6,2,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7
144,42,1,2,2,2,3,5,5,3,5,4,6,5,6,6,6,6,7,7,6,2,2,5,5,6,6,5,6,6,5,5,6,6,5,5,6,5,6,6,6,6,7,6,6,5,6,6,6,6,6
145,37,2,1,2,2,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,1,1,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
146,21,1,2,2,2,6,6,6,6,7,6,6,5,5,7,7,7,6,7,5,3,4,5,6,7,5,6,7,7,6,4,6,6,5,6,7,7,6,6,5,5,5,7,6,7,7,6,7,5,7
147,22,1,1,2,1,7,6,6,6,6,1,6,7,7,3,4,5,4,2,6,5,4,5,6,7,6,6,7,7,6,6,7,7,6,6,7,3,6,7,7,7,7,7,7,7,7,7,7,7,7
148,28,2,1,2,1,5,7,5,6,7,5,5,6,6,6,5,5,6,6,4,3,2,5,5,5,6,6,7,6,5,7,7,6,6,5,7,5,6,7,7,7,7,7,7,7,6,7,7,6,7
149,21,1,3,2,1,3,5,3,3,5,5,5,2,5,6,2,2,2,5,4,4,4,4,5,3,3,5,5,4,4,2,4,3,3,4,2,6,4,4,3,2,6,6,5,5,5,4,5,6,6
150,26,1,1,2,4,5,6,5,6,6,7,7,6,7,7,7,7,7,7,7,3,3,5,7,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,7,7,7,6,6,6,6,6,7
151,19,1,1,2,2,5,6,7,7,5,4,7,7,7,7,7,7,4,7,7,2,1,3,7,5,4,7,7,7,5,4,7,7,7,7,7,7,7,7,6,6,7,5,7,5,7,6,7,7,7
152,20,2,1,2,2,6,5,6,7,6,6,6,6,6,7,6,5,6,6,6,2,2,5,7,6,5,6,7,6,6,5,6,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
153,23,1,1,2,1,4,3,4,4,5,2,3,5,1,1,1,1,1,1,1,7,7,1,1,2,2,5,2,6,2,5,5,5,6,1,4,5,6,4,4,4,2,2,1,1,1,1,1,1,1
154,32,2,1,2,4,3,2,2,1,1,1,1,3,6,1,1,1,1,1,1,1,1,1,5,5,1,1,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,5
155,25,1,3,2,3,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,1,1,6,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,6,7,7,6,7,7,7,6,7,7,7,7
156,23,1,1,2,1,5,6,6,5,6,5,7,3,5,6,6,5,6,5,6,2,2,6,6,7,6,6,6,6,7,7,6,7,6,6,7,6,7,7,7,6,6,6,6,6,6,6,6,6,7
157,40,1,1,3,2,6,6,6,6,6,5,6,6,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
158,28,1,1,3,2,6,5,5,5,6,4,6,6,7,7,6,6,6,7,5,2,3,6,5,6,7,5,7,6,7,7,7,6,7,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7
159,29,1,1,3,2,5,4,4,6,6,5,4,6,6,6,6,5,6,6,6,4,6,6,6,7,7,6,7,7,6,6,7,7,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6
160,30,2,1,3,2,5,6,6,6,5,3,4,4,4,5,6,5,2,6,2,7,7,1,1,5,5,7,6,6,6,6,7,7,7,6,6,6,7,7,7,7,6,6,7,6,6,5,7,6,7
161,25,2,1,3,2,5,4,6,4,6,5,3,4,5,6,5,6,5,7,5,3,3,4,5,5,5,5,5,6,4,5,5,5,5,4,4,4,6,5,5,5,4,5,5,5,5,4,4,4,7
162,28,2,1,3,3,4,2,2,6,4,2,7,5,5,6,7,7,6,7,7,2,1,4,6,6,7,7,6,6,7,6,6,7,7,6,7,7,7,7,7,7,6,7,7,7,6,6,7,7,7
163,29,1,1,3,2,6,6,7,5,7,2,7,7,6,7,7,3,6,7,7,1,2,5,7,6,7,7,5,6,6,7,7,7,7,7,7,3,5,6,7,7,5,7,7,5,6,3,6,7,7
164,41,2,1,3,1,6,2,3,6,3,1,4,4,4,4,6,2,4,2,4,7,7,4,4,6,6,6,6,7,6,7,6,6,6,4,6,5,6,5,5,6,6,7,6,6,5,6,7,6,7
165,40,2,1,3,6,5,4,4,5,5,3,5,5,5,7,6,5,6,6,5,2,1,4,4,5,6,5,6,5,5,4,5,4,4,5,4,6,5,4,4,4,5,6,5,6,6,5,5,6,6
166,24,2,1,3,5,5,6,6,5,6,2,6,4,7,7,7,7,7,7,7,1,1,4,6,7,5,5,6,5,5,6,7,6,6,6,6,6,6,7,7,7,7,7,7,7,6,7,7,7,7
167,25,1,1,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
168,21,1,1,3,1,6,5,5,6,6,4,4,6,7,6,7,4,6,7,7,4,1,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
169,47,2,1,4,2,6,2,3,5,3,1,5,2,5,4,7,3,6,7,5,5,4,3,5,6,5,6,6,6,6,5,6,6,6,5,6,6,6,7,7,6,6,6,6,6,4,5,6,6,7
170,33,2,2,4,1,3,5,5,4,4,6,7,5,5,5,7,4,5,7,4,2,3,5,4,3,4,7,4,6,5,3,7,6,7,5,4,2,6,5,5,6,7,6,6,5,4,4,5,7,7
171,36,2,1,4,5,3,3,3,3,3,5,5,3,5,5,6,4,5,7,5,3,4,5,5,7,5,5,5,5,4,4,5,4,5,4,5,5,6,5,5,4,4,6,5,5,5,5,5,4,7
172,27,2,1,4,5,7,6,7,7,6,5,7,7,7,7,6,6,7,7,7,1,1,6,6,7,7,6,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7
173,25,2,3,4,2,6,7,6,6,5,5,6,1,5,7,7,6,7,7,5,2,4,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7
174,27,1,1,4,5,7,7,7,7,7,6,7,7,6,7,7,7,5,7,6,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
175,39,1,1,4,4,5,4,4,4,4,4,5,4,5,5,4,4,6,6,5,3,2,5,5,6,5,7,6,6,6,5,7,6,6,6,7,6,6,7,7,6,7,7,7,7,5,6,7,7,7
176,47,1,1,4,5,7,6,7,6,7,6,7,6,6,6,6,5,6,7,6,2,2,5,5,7,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,7,6,7,7,6,6,7
177,30,2,1,4,2,6,5,5,6,5,5,6,6,5,4,7,3,4,6,3,3,5,3,3,5,6,6,6,7,6,5,6,6,7,7,7,6,6,7,7,7,6,6,6,7,5,6,7,7,7
178,26,2,1,5,5,7,5,7,7,7,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
179,45,1,1,5,4,6,5,5,6,6,4,6,5,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
180,37,2,1,5,5,6,6,5,5,4,4,6,6,6,7,7,4,6,6,4,2,2,6,6,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
181,29,2,1,5,5,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
182,26,2,1,5,2,6,4,5,6,5,5,5,6,5,6,5,6,6,6,4,6,6,5,4,6,6,5,6,5,6,6,5,6,5,6,6,6,5,7,7,6,7,7,6,7,6,6,7,7,6
183,32,1,1,5,5,5,5,5,6,6,4,6,6,7,7,7,7,7,7,7,2,5,7,7,7,7,7,7,7,7,6,7,7,7,5,6,7,7,7,7,7,6,7,7,7,7,7,7,6,7
184,32,2,1,5,5,6,6,5,5,5,6,7,6,6,7,7,5,6,7,5,2,2,6,6,7,7,7,7,7,7,7,7,6,7,6,6,4,7,7,7,6,5,7,6,7,6,6,7,7,7
185,34,2,3,5,2,6,2,2,5,6,7,4,4,3,4,5,7,2,3,1,7,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,6,6,7
186,26,2,1,5,5,6,6,6,6,6,6,7,6,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
187,36,1,1,5,5,6,6,7,7,6,6,7,7,7,7,7,6,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7
188,36,2,1,5,2,3,5,2,5,3,3,5,5,6,6,6,6,6,6,4,4,4,5,5,7,5,5,5,5,5,4,5,6,6,4,5,4,5,7,6,7,5,6,6,6,5,5,5,5,7
189,30,2,1,5,2,6,5,5,6,6,4,6,6,5,7,7,5,6,7,5,2,2,6,5,6,6,5,6,6,6,5,5,7,7,6,5,5,6,5,5,5,6,6,6,6,7,5,6,6,7
190,25,1,1,5,2,6,6,7,6,6,6,7,6,6,7,7,7,7,7,7,1,1,5,6,7,6,7,7,7,7,6,7,6,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
191,23,2,1,5,2,5,6,6,4,3,5,6,3,5,6,7,6,5,6,6,3,3,5,6,5,6,5,7,5,6,5,5,6,5,6,6,4,6,5,5,6,4,6,5,5,5,6,6,5,6
192,33,1,1,5,2,6,2,3,5,5,3,6,5,4,4,5,5,5,6,4,5,3,4,4,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,4,5,6,6,7
193,31,2,3,6,1,3,5,5,4,3,5,5,3,4,5,5,3,5,5,3,5,5,4,4,4,3,3,5,3,4,4,3,4,4,3,4,4,4,3,4,4,4,5,5,3,2,2,4,3,6
194,27,1,1,6,5,2,6,5,6,6,4,7,4,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
195,29,1,1,6,5,6,7,6,2,7,6,6,6,7,7,5,6,6,7,6,4,4,6,7,6,7,6,7,5,5,7,7,6,5,6,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7
196,32,1,1,6,5,3,5,5,5,5,3,6,6,4,5,5,5,5,6,5,3,3,5,5,5,5,6,5,5,5,5,6,6,6,6,5,4,5,6,5,5,4,5,5,5,5,5,5,5,6
197,25,2,3,6,2,6,5,5,3,5,5,5,4,6,7,6,6,6,6,6,3,3,3,5,6,6,6,6,6,6,6,7,6,6,5,6,6,7,7,6,6,6,6,6,6,4,6,6,6,7
198,27,2,1,6,2,6,5,6,7,6,6,5,6,6,7,6,5,7,7,5,3,4,3,4,7,7,6,7,6,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,6,7,7,7,6,7
199,53,2,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,7,7,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
200,25,2,1,6,5,2,6,5,3,5,3,4,3,4,6,6,3,3,6,4,3,4,4,5,5,5,5,5,4,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,5,3,3,2,4
201,26,2,1,7,5,6,7,7,5,7,5,4,4,7,5,7,5,7,7,4,1,5,5,7,7,7,7,7,7,7,5,7,7,7,7,7,3,7,5,7,7,3,7,7,7,4,4,7,3,7
202,28,1,1,7,5,6,5,5,6,5,3,5,6,6,7,5,6,6,7,7,2,2,6,3,5,7,5,7,6,6,7,7,5,6,6,7,6,6,7,7,5,5,7,6,7,7,6,7,6,7
203,49,2,1,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
204,33,2,1,7,5,5,3,5,5,6,2,6,4,7,7,7,7,6,6,6,2,2,6,4,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,6,6,7,7,7
205,27,2,3,8,5,6,5,6,6,6,2,2,6,3,5,7,2,2,7,3,7,7,4,4,7,6,7,7,7,7,7,7,7,7,7,6,5,7,7,6,6,7,7,7,7,7,7,7,7,7
206,25,2,1,8,5,6,5,6,6,7,5,6,6,7,7,7,5,7,7,5,3,4,5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
207,36,2,1,8,5,6,7,6,7,6,2,6,6,5,7,7,7,7,6,5,1,1,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
208,28,2,1,8,5,5,1,3,3,3,5,2,2,1,1,4,1,7,6,1,1,4,1,1,5,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
209,29,1,1,8,5,6,6,5,6,6,5,6,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7
210,24,2,3,8,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
211,33,2,1,9,4,7,6,6,6,6,4,4,4,4,6,7,4,4,7,4,5,1,4,5,7,5,6,7,7,7,7,7,6,6,6,6,6,7,7,6,6,6,6,6,7,5,6,7,7,7
212,29,2,1,9,5,5,7,6,5,5,7,3,5,7,7,7,5,6,7,7,1,1,5,7,7,6,6,7,7,6,6,6,6,6,7,6,5,6,6,7,6,6,7,7,7,7,6,7,7,7
213,26,1,1,9,5,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
214,55,1,1,9,2,6,7,6,6,6,6,7,7,6,7,7,7,7,7,7,1,1,6,6,7,6,7,7,6,6,6,7,7,7,6,6,6,6,7,7,7,6,6,6,7,6,6,7,7,7
215,38,1,1,9,2,6,3,4,6,6,2,5,6,5,6,7,4,5,7,5,3,4,5,5,6,5,7,6,7,6,7,7,6,7,6,7,7,7,7,7,5,4,6,6,6,5,5,6,4,7
216,27,2,3,9,6,6,7,7,7,7,4,6,6,6,7,7,6,7,7,7,1,2,6,7,7,5,6,7,7,7,4,7,5,7,7,7,7,7,7,7,5,7,7,6,6,7,6,6,7,7
217,33,2,1,9,5,6,7,5,7,6,5,6,6,5,5,5,5,5,5,5,3,3,4,4,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,3,5,5,6,6,5,5,5,7
218,34,1,1,10,5,6,6,6,6,6,7,6,5,6,6,5,5,6,7,6,2,2,4,4,7,6,7,7,7,7,6,5,5,7,6,5,5,6,7,6,6,6,7,7,7,7,7,7,7,7
219,29,2,1,10,5,6,6,4,5,6,3,4,6,5,6,7,5,5,6,4,3,2,3,5,6,6,6,7,6,6,5,6,6,7,6,4,3,5,6,5,6,6,7,7,6,5,5,7,5,7
220,30,1,1,10,5,6,5,4,6,6,4,6,6,7,7,7,5,7,7,7,3,6,4,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6
221,31,2,1,10,5,5,6,3,5,6,4,5,5,7,7,7,7,7,7,7,2,2,7,7,7,7,7,7,5,7,5,4,4,6,5,4,6,4,6,5,5,6,6,6,6,6,6,7,5,7
222,28,2,1,10,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
